Texte Jupyter;Auteur;nb_RT;Details_etude;Défiant_Confiant;Mention_Pouvoir;Mention_acteurs_pharma;Mention_Personnalite_politique;Mention_Conflit_interet;Mention_fonctionnement_recherche;Discours_complotiste
RT @bengrosso: Il est désormais avéré que la fameuse étude du #Lancet qui a légitimé la décision de @olivierveran d'interdire l' #HydroxyChloroquine dans le traitement du #COVID?19 est une ESCROQUERIE. #LancetGate;bengrosso;2464;0;D;1;0;0;0;0;0
RT @ArianeWalter: Qui est principal financeur de The lancet?..... Cherchez l 'argent et vous aurez la réponse . The lancet est propriété du groupe Elsevier, filiale de la société mère RELX , groupe dont black rock est le principal actionnaire ce même BlackRock est actionnaire de GILEAD;ArianeWalter;1921;0;D;0;1;0;1;0;1
RT @dlempereur: Après la volte-face face du Lancet qui reconnaît que l’étude qu’il avait publié avec fracas est sûrement bidon, c’est maintenant l’OMS qui fait marche arrière et qui annonce la reprise des essais sur l’hydroxychoroquine ! La victoire de @raoult_didier est totale ??;dlempereur;1849;0;D;0;0;0;0;0;0
RT @TaQuIn_MaUvE: Si tu as encore 1 doute sur les méthodes des firmes pharmaceutiques, écoute le Pr Even nous expliquer le fonctionnement, vous comprendrez mieux le débat sur la chloroquine Faut aussi savoir que l'étude parue dans The Lancet qui détruit la chloroquine a été financée par big pharma https://twitter.com/TaQuIn_MaUvE/status/1265867586547462148/video/1;TaQuIn_MaUvE;1802;0;D;0;1;0;1;1;0
RT @AldoSterone111: Je suis choqué par la vitesse a laquelle l’Etat français a réagi à l’article du Lancet. Ils ont interdit la Chloroquine littéralement au moment où l’article tombait. Jamais vu un Etat aussi impulsif qui pond des lois sur des articles bidon sans même les lire !;AldoSterone111;1792;0;D;1;0;0;0;0;0
RT @olivierveran: Suite à la publication dans @TheLancet d'une étude alertant sur l'inefficacité et les risques de certains traitements du #COVID?19 dont l'hydroxychloroquine, j'ai saisi le @HCSP_fr pour qu'il l'analyse et me propose sous 48h une révision des règles dérogatoires de prescription.;olivierveran;1760;0;C;1;0;0;0;0;0
RT @medicalfollower: ???? #LancetGate - Arianne Anderson, directrice des ventes et marketing de Surgisphere, la société ayant fourni les données de l'étude du #lancet, serait l'actrice X Skye Daniels call girls travaillant a Las Vegas Un fictif grossier qui a bernée @olivierveran et l OMS!!! https://twitter.com/medicalfollower/status/1267122976127885312/photo/1;medicalfollower;1749;0;D;1;0;0;0;0;0
RT @GilbertDeray: L’article du Lancet est retiré ce qui était attendu. La fraude est probable, une enquête est en cours. C’est un immense scandale très préjudiciable à la communauté scientifique.;GilbertDeray;1705;0;D;0;0;0;0;0;0
RT @GuyduFaur: ??AHURISSANT : Philippe Douste-Blazy rapporte les propos «off» du patron de The Lancet sur la mainmise des labos pharmaceutiques sur la communication médicale. Ne soyons pas étonnés que Presse et TV s'agenouillent devant ces grands prescripteurs de pubs ?? https://twitter.com/Quoi2news/status/1264235815569416192/video/1;GuyduFaur;1576;0;D;0;1;1;1;1;0
RT @medicalfollower: ???? #LancetGate les masques commencent à tomber devant le torchon publié !  The Lancet demande des comptes aux auteurs  https://www.theguardian.com/science/2020/may/28/questions-raised-over-hydroxychloroquine-study-which-caused-who-to-halt-trials-for-covid-19;medicalfollower;1472;0;D;0;0;0;0;0;0
RT @boutaour: L’énorme biais de sélection de l’étude Lancet est confirmée par @andrebercoff. Les 96000 patients sont cardiaques. Ce qui fait de cette étude une réelle escroquerie intellectuelle https://twitter.com/boutaour/status/1265389983084548097/video/1;boutaour;1441;1;D;0;0;0;0;0;0
RT @aragon_jb: #Espagne Magnifique pied de nez de l'Espagne à l'étude bidon du Lancet et à la stupidité suspecte de l'OMS ! Pour le Directeur du Centre de Coordination des Alertes Sanitaires, l'hydroxychloroquine est efficace, faut juste savoir l'utiliser ! ?????????? https://www.diariodeleon.es/articulo/afondo/simon-aboga-controlar-uso-tiempo-administracion-hidroxicloroquina/202005221850412015003.html;aragon_jb;1423;0;D;1;0;0;0;0;0
RT @medicalfollower: ????URGENT : L’Australie rejette les données utilisées par les chercheurs de Lancet, l’étude semble de plus en plus Frauduleuse. #LancetGate #Hydroxychloroquine   https://www.connectionivoirienne.net/2020/05/28/hydroxychloroquine-laustralie-rejette-les-donnees-utilisees-par-les-chercheurs-de-lancet/;medicalfollower;1361;1;D;1;0;0;0;0;0
RT @JBollee: L’étude du Lancet a bénéficié d’une couverture médiatique massive, à seule fin de discréditer @raoult_didier. Maintenant que son caractère frauduleux a été établi, on attend la même couverture ! Quant à Veran, dont la précipitation révèle la compromission, il doit démissionner.;JBollee;1325;0;D;1;0;0;1;0;0
RT @CNEWS: Philippe Parola, bras droit de Didier Raoult, réagit à l’étude du Lancet sur la chloroquine : «Il y a plusieurs façons de critiquer cette étude (…) Tout ce qui est dedans est soit faux, soit imprécis, soit maladroit, soit frauduleux» #HDPros https://twitter.com/CNEWS/status/1266275962506731520/video/1;CNEWS;1309;0;D;0;0;0;0;0;0
RT @Laissonslespre1: COMMUNIQUE DE PRESSE DE CE JOUR- commentaires étude Lancet qui est une honte. Très étonnés de la communication du Ministre de la Santé. Seront attentifs à recommandation du HCSP car tout cela commence à devenir très très grave pour ne pas dire plus. #Ethique #hydroxychloroquine https://twitter.com/Laissonslespre1/status/1264172471806316544/photo/1;Laissonslespre1;1280;0;D;1;0;0;0;0;0
RT @ivanrioufol: Les graves soupçons de manipulations qui pèsent sur l'étude de @TheLancet sur l'#Hydroxycloroquine révèlent, indirectement, la légèreté de @olivierveran dans son acharnement à faire taire @raoult_didier. Si bidonnage il y a bien eu, #Veran devra démissionner. https://twitter.com/ivanrioufol/status/1264210242155491328;ivanrioufol;1276;0;D;1;0;0;0;0;0
"RT @aragon_jb: En Espagne, l'Agence officielle des médicaments (Aemps) voit des failles dans l'étude ""The Lancet"", affirme n'avoir reçu aucune alerte dans le cadre des essais cliniques en cours de l'hydroxychloroquine et confirme ses positions favorables (HCL et AZI) ! https://www.diariofarma.com/2020/05/26/la-aemps-ve-grietas-en-el-estudio-de-the-lancet-y-niega-haber-recibido-alertas-por-hidroxicloroquina/amp?__twitter_impression=true";aragon_jb;1275;1;D;1;0;0;0;0;0
"RT @R_JDG: Chloroquine : ""Je ne suis pas pro-Raoult mais l'étude publiée par The Lancet, c'est une merde"", lance le Pr. Froguel https://flip.it/m83lZH";R_JDG;1186;0;D;0;0;0;0;0;0
RT @pandadoux: Je ne voudrais pas être à la place d'Olivier Veran  En signant l'interdiction l'usage de la chloroquine il vient de signer son arrêt de mort  L'étude Lancet est une magouille grossière attaquée de toute part;pandadoux;1154;0;D;1;0;0;0;0;0
RT @Le___Doc: Beaucoup vont éplucher la grosse étude observationnelle qui vient de sortir dans le @TheLancet sur 96.032 #COVID19 dont 14.888 traités avec l’#hydroxychroloquine ou la Chloroquine ± #azithromycine  L’étude est ici et c’est terrible... https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)31180-6/fulltext?utm_campaign=tlcoronavirus20&utm_source=twitter&utm_medium=social https://twitter.com/Le___Doc/status/1263894450973089793/photo/1;Le___Doc;1114;1;C;0;0;0;0;0;0
RT @JVerier: Tous les pays du monde ont reçu les publications du #LANCET via l’ #OMS.  Mais pourquoi la #France via #OlivierVeran est-elle le seul pays au monde où l’ #Hydroxychloroquine a été INTERDITE ?? Pourquoi la France est-elle le seul pays au monde ??? POURQUOI ?????????;JVerier;1071;0;D;1;0;0;0;0;0
RT @lemondefr: Hydroxychloroquine : le journal « The Lancet » met en garde contre l'étude publiée dans ses colonnes qui a conduit l’OMS a suspendre provisoirement un essai clinique et la France à mettre fin à l’utilisation à l’hôpital de cette molécule contre le #COVID19 https://www.lemonde.fr/planete/article/2020/06/03/hydroxychloroquine-le-journal-the-lancet-met-en-garde-contre-une-etude-publiee-dans-ses-colonnes_6041583_3244.html?utm_medium=Social&utm_source=Twitter#Echobox=1591160963;lemondefr;1057;0;N;0;0;0;0;0;0
RT @medicalfollower: ???? Ça sent de plus en plus mauvais dans l étude Lancet! La Directrice des Ventes de SurgiSphere / QuartzClinical (la société  qui permis de collecter les données des 100,000 patients)... ... est en réalité un mannequin qui travaille dans l'événementiel. #LancetGate https://twitter.com/medicalfollower/status/1266634830734917632/photo/1;medicalfollower;1038;0;D;0;0;0;0;0;0
RT @GilbertDeray: Si l’article du Lancet est une fraude cela va briser la confiance dans les scientifiques de façon durable et accentuer les dérives hors de ce que les 50 dernières années ont permis : une médecine basée sur les preuves. J’attends avec inquiétude les résultats de l’enquête.;GilbertDeray;1022;0;D;0;0;0;0;1;0
RT @biobiobiobior: ?? URGENT 30 Mai : L’un des co-auteurs de l’Etude The Lancet est nommé dans trois poursuites pour faute professionnelle médicale déposées au second semestre de 2019 (The Scientist) #chloroquine #hydroxychloriquine #Véran #Coronavirus https://www.the-scientist.com/news-opinion/disputed-hydroxychloroquine-study-brings-scrutiny-to-surgisphere-67595;biobiobiobior;1021;0;D;0;0;0;0;0;0
RT @bengrosso: #LancetGate Il est désormais primordial qu'@olivierveran s'explique sur le processus décisionnaire qui a entrainé l'interdiction de l'#Hydroxycloroquine pour les patients du #COVID19 en France sur la base de l'étude dite #Lancet Une enquête parlementaire doit être envisagée.;bengrosso;986;0;D;1;0;0;0;0;0
RT @medicalfollower: ???? ???? Les Langues se délient:  Hydroxychloroquine : les auteurs de l’étude publiée par The Lancet ont tous un conflit d’intérêt…  https://lecourrierdesstrateges.fr/2020/05/24/hydroxychloroquine-les-auteurs-de-letude-publiee-par-le-lancet-ont-tous-un-conflit-dinteret/;medicalfollower;984;0;D;0;0;0;1;0;0
RT @FallaitPasSuppr: Nouvelle confirmation : @RoyalSegolene n'a pas de face Ses 2 tweets sur la #chloroquine datant de mars Supprimés ce week-end ??  #Raoult #Lancet #TheLancet https://twitter.com/FallaitPasSuppr/status/1264474412587331584/photo/1;FallaitPasSuppr;983;0;N;0;0;1;0;0;0
RT @biobiobiobior: ?? URGENT - France, 3 Juin : « Je suis extrêmement en colère, l’article  paru dans le Lancet est une FakeNews » (P.Douste-Blazy LCI) #Raoult #Véran #coronavirus #COVID19 #FakeNews #LancetGate #chloroquine https://twitter.com/AudreyAndCoLCI/status/1268108857861160960/video/1;biobiobiobior;944;0;D;0;0;1;0;0;0
RT @medicalfollower: ???? The Lancet fait machine arrière sur l étude US! @olivierveran de plus en plus isolé ! https://twitter.com/thelancet/status/1267901995848957953;medicalfollower;934;0;D;1;0;0;0;0;0
RT @MLP_officiel: Olivier Véran s'est précipité pour interdire le traitement à base d'#hydroxychloroquine, tout cela sur la base d'une étude frauduleuse dénoncée désormais par de nombreux scientifiques.  Est-ce le Ministre de la SANTÉ ou celui des lobbies ? MLP https://www.lemonde.fr/planete/article/2020/06/03/hydroxychloroquine-le-journal-the-lancet-met-en-garde-contre-une-etude-publiee-dans-ses-colonnes_6041583_3244.html;MLP_officiel;908;0;D;1;0;0;1;0;0
RT @JeanMessiha: L’étude dite The Lancet est le plus grand faux et la plus grande tentative de manipulation jamais opérée sous couvert de science: données inexistantes ou invérifiables, aucun hôpital saisi... Allô @dr_l_alexandre, vous êtes là ? Ah vous êtes aux champignons ? Désolé ! #LancetGate https://twitter.com/JeanMessiha/status/1266464455874969601/video/1;JeanMessiha;873;1;D;0;0;0;0;0;0
RT @AldoSterone111: Au fond, je remercie The Lancet. Une fois que les gens voient comment des « scientifiques » publient du frauduleux, ils vont aussi se réveiller à la fraude du réchauffement climatique dit aussi changement climatique. La corruption de cette clique dépasse l’imagination.;AldoSterone111;867;0;D;0;0;0;0;0;1
RT @ZemmourFaceInfo: Éric #Zemmour sur @CNEWS : « L’hydroxychloroquine et l’azithromycine de l’étude du @TheLancet ont été administrées à des gens gravement atteints. Alors que depuis le début, @raoult_didier affirme qu’il faut l’administrer au début de la maladie ! » #Facealinfo;ZemmourFaceInfo;863;1;D;0;0;1;0;0;0
RT @Poulin2012: ?? Une centaine de médecins demandent des comptes au dr Mehra et au Lancet sur la publication de la dernière étude bidon sur la #chloroquine   Véran n’a pas hésité une seconde pour interdire la molécule dans le traitement du covid-19. #chloroquinegate  https://zenodo.org/record/3862789;Poulin2012;850;0;D;1;0;0;0;0;0
RT @andrebercoff: Demain Lundi, la guerre des ondes reprend sur @SudRadio de midi à 14h . Tout sur la polémique #hydroxychroloquine , l’étrange étude de la revue #Lancet et le duel à mort de #VERAN contre #Raoult . Quand notre santé et nos vies se transforment en variables d’ajustement boursières.;andrebercoff;818;0;D;1;0;0;0;0;0
RT @LMucchielli: Affaire du Lancet. On regrette que la presse française ne vérifie plus rien. The Gardian l'a fait. Premier résultat : les données sur l'Australie sont fausses https://www.theguardian.com/science/2020/may/28/questions-raised-over-hydroxychloroquine-study-which-caused-who-to-halt-trials-for-covid-19 On le redit, cette étude est une escroquerie intellectuelle https://blogs.mediapart.fr/laurent-mucchielli/blog/260520/fin-de-partie-pour-l-hydroxychloroquine-une-escroquerie-intellectuelle;LMucchielli;813;1;D;0;0;0;0;0;0
RT @MedicusFR: L'étude observationnelle du Lancet est une mine d'or.  J'ai beaucoup de choses à dire dessus. Le thread va être un peu long.  Mais tout d'abord : IL FAUT ARRETER TOUS LES ESSAIS  AVEC L'HYDROXYCHLOROQUINE. Il devient clair que ce traitement tue + de gens ! https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)31180-6/fulltext;MedicusFR;782;0;C;0;0;0;0;0;0
"RT @CNEWS: Philippe Parola, bras droit de Didier Raoult, sur la chloroquine : ""L'article de The Lancet est l'illustration du déclin de l'édition scientifique"" #HDPros https://twitter.com/CNEWS/status/1265179333003563010/video/1";CNEWS;758;0;D;0;0;0;0;1;0
RT @rene_chiche: Je trouve le papier du Lancet plutôt médiocre. Il n'en fallait sans doute pas davantage aux demi-instruits et autres rageux contre @raoult_didier  pour se ruer dessus comme le Saint Graal afin de bouter crédulité et superstition hors de France. Tout cela est ridicule.;rene_chiche;756;0;D;0;0;0;0;0;0
RT @biobiobiobior: ??« Vous n’avez qu’à regarder combien ont gagné les gens qui viennent sur les plateaux TV depuis 4 ans, cela fait peur » (Pr Raoult) #chloroquine #HydroxyChloroquine #LancetGate #Véran #France #Coronavirus #COVID19 https://twitter.com/boutaour/status/1267143843281096704/video/1;biobiobiobior;750;0;D;1;0;0;0;1;0
"RT @Stalec_: Raoult détruit l'étude ""lancet"" https://twitter.com/Stalec_/status/1265617043304431616/video/1";Stalec_;721;0;D;0;0;0;0;0;0
"RT @JeanYvesCAPO: GILEAD : La ""bombe"" publiée par FRANCE SOIR. Tout a été passé au crible. Les actionnaires de GILEAD, comme leurs lobbyistes en France, devraient bien lire ... mais pas qu'eux. Bravo pour ce boulot FRANCE SOIR et ses équipes d'investigation ! http://www.francesoir.fr/societe-economie/lancetgate-quel-role-joue-le-laboratoire-gilead-qui-developpe-le-remdevisir";JeanYvesCAPO;719;0;D;0;1;0;1;0;0
RT @AssoEntelekheia: Amusant : le Lancet publie aujourd'hui une étude selon laquelle l'HDC aggraverait le #COVID19, et aujourd'hui aussi, l'Indian Council of Medical Research (l'autorité suprême de la santé d'Inde, partenaire de l'OMS) publie exactement l'inverse.  https://theprint.in/health/hcq-breakthrough-icmr-finds-its-effective-in-preventing-coronavirus-expands-its-use/427583/;AssoEntelekheia;689;0;D;1;0;0;0;0;0
RT @YvesPDB: Hydroxychloroquine : les auteurs de l'étude publiée par le Lancet ont tous un conflit d'intérêt... - Le courrier des stratèges https://lecourrierdesstrateges.fr/2020/05/24/hydroxychloroquine-les-auteurs-de-letude-publiee-par-le-lancet-ont-tous-un-conflit-dinteret/;YvesPDB;689;0;D;0;0;0;1;0;0
RT @benjaminamar4: La société qui a donné les prétendues données du Lancet est une entreprise qui emploie des artistes pornos pour jouer les directrices de  vente dans les pubs. Les 678 hôpitaux brandis par l'étude n'existent pas ! Bravo l'OMS et Veran la Dèche qui se sont faits pigeonner !;benjaminamar4;666;1;D;1;0;0;0;0;0
RT @OSTERElizabeth1: #Veran pour se dédouaner de sa mise au ban de la #Chloroquine, la compare au #Mediator! Et pourquoi pas au cyanure! Il eût été plus avisé etant médecin d'étudier un peu mieux l'article du Lancet du Prof.Mehra unanimement critiqué par les scientifiques! https://www.gala.fr/l_actu/news_de_stars/un-sacre-cluster-dirresponsables-le-coup-de-gueule-dolivier-veran_449212;OSTERElizabeth1;662;0;D;1;0;0;0;0;0
"RT @jwaintraub: ""Tout ce qui est dans l'étude publiée par @TheLancet est soit faux, soit imprécis, soit maladroit, soit frauduleux"" #Parola chef du pôle maladies infectieuses à la Timone #heuredespros @CNEWS";jwaintraub;657;0;D;0;0;0;0;0;0
RT @Brevesdepresse: ?FLASH - Volte-face : après une suspension, L'OMS annonce la reprise des essais cliniques sur l'#hydroxychloroquine (déclaration). La semaine dernière, la France s'est prononcée contre l'utilisation du médicament pour soigner le #covid19 suite à une publication de The Lancet.;Brevesdepresse;655;0;N;1;0;0;0;0;0
RT @T_Nenninger: Je me demande bien ce qui a pu passer par la tête des éditeurs et du comité de relecture de The Lancet pour risquer de fusiller comme ça des décades de respectabilité.  Quant aux auteurs, j’espère pour eux qu’ils seront en mesure de prouver l’origine des données brutes.;T_Nenninger;653;0;D;0;0;0;0;0;0
RT @pdousteblazy: C’est une entreprise de démolition pour tous les médicaments qui sont susceptibles de marcher. Qui a manipulé ? Au profit de qui ?;pdousteblazy;644;0;D;0;0;0;1;0;0
RT @Conflits_FR: ???? Politique : la décision hâtive du Ministre de la Santé à propos de la #chloroquine suite à l'étude du #Lancet aurait provoqué la colère de l'Elysée. Certaines sources parlent d'un #remaniement et d'un départ d'Olivier #Veran. (France Soir) #COVID?19 #Deconfinement;Conflits_FR;609;0;N;1;0;0;0;0;0
RT @JeanMessiha: Mais où diable est encore passé le @dr_l_alexandre, fervent défenseur et partisan de cette étude de The Lancet, dont les auteurs eux-mêmes se rétractent désormais ? Il peut pas réagir car il est toujours aux champignons ? Embêtant ça ... https://www.lemonde.fr/sciences/article/2020/06/04/hydroxychloroquine-trois-auteurs-de-l-etude-du-lancet-se-retractent_6041803_1650684.html;JeanMessiha;608;0;D;0;0;0;0;0;0
RT @GilbertDeray: Je relaie cet article du Gardian qui soulève des problèmes vis à vis de l’article du Lancet. Si des erreurs ont été commises cela sera dramatique pour la lutte contre une science de mauvaise qualité et notre demande d’essais contrôlés. https://www.theguardian.com/science/2020/may/28/questions-raised-over-hydroxychloroquine-study-which-caused-who-to-halt-trials-for-covid-19;GilbertDeray;596;0;N;0;0;0;0;0;0
RT @fredericbizard: 1/2-Si l'étude #Lancet est bidon, c'est une grosse secousse pour Ministère de la santé.Le 23/05,#Véran dde au #HCSP,qui n'a AUCUNE MISSION de pharmacovigilance,de lui rendre 1 avis ss 48h sur HCQ. Le 25/05, le #HCSP s'execute et recommande l'interdiction d'usage.#Véran interdit.;fredericbizard;596;0;N;1;0;0;0;0;0
RT @idrissaberkane: Et puisqu’on me l’a BEAUCOUP demandé : oui je pense que @olivierveran doit démissionner immédiatement suite aux #LancetGate et au #RECOVERYGATE;idrissaberkane;594;0;D;1;0;0;1;0;0
RT @dupontaignan: ?? L'étude anti-chloroquine du Lancet était FAUSSE ! Comment expliquer que le Gouvernement s'en soit servi pour interdire précipitamment un traitement qui a fait ses preuves : incompétence ou manipulation au profit de lobbies ? @olivierveran devra rendre des comptes ! #LancetGate https://twitter.com/dupontaignan/status/1267841973366521857/video/1;dupontaignan;591;0;D;1;0;0;0;0;0
RT @flabrouillere: Chloroquine : le New York Times s’interroge à son tour sur la fiabilité de l’étude publiée par The Lancet.  https://www.nytimes.com/2020/05/29/health/virus-hydroxychloroquine-lancet.html;flabrouillere;589;0;D;0;0;0;0;0;0
RT @chdevoogd: L’interdiction éclair de la chloroquine ds le #covid, non justifiée par étude #lancet est une erreur majeure. Après l’avoir réservée aux malades graves contre l’avis de #Raoult on fait mine de s’inquiéter des résultats. Et l’on coupe court aux essais en cours. Cousu de fil blanc.;chdevoogd;588;0;D;0;0;0;0;0;0
RT @souzy_de: Des études très sérieuses démontrent que si la #chloroquine est administrée en même temps que l’extrême-onction, ça ne marche pas.. #Lancet @raoult_didier #Raoult;souzy_de;587;0;N;0;0;0;1;0;0
RT @OSTERElizabeth1: Nouveau scandale. #VERAN sur la base d'une étude publiee au Lancet menée  sur fond  de conflit  d'intérêts et fort critiquée par de nombreux scientifiques s'apprête à interdire l'#HydroxyChloroquine. La santé des français prise en otage dans des intérêts politico-financiers. https://twitter.com/OSTERElizabeth1/status/1264127029768794113;OSTERElizabeth1;581;0;D;1;0;0;0;1;0
RT @sonjoachim: Cher @olivierveran et cher @cedric_o, comment se fait-il que des entreprises américaines aient accès à des données ethniques sur des patients français ? Soit l’article du Lancet est truqué, soit il y a un scandale gravissime. Cc @Defenseurdroits @EPhilippePM https://twitter.com/sonjoachim/status/1266329966112911360/photo/1;sonjoachim;580;1;N;1;1;0;0;0;0
RT @EnModeMacaron: La semaine dernière, la Macronie a décidé de ne plus autoriser l'hydroxychloroquine pour traiter le coronavirus suite à l’étude controversée du Lancet??  La revue scientifique indique ce soir que trois des auteurs de cette étude se sont rétractés??  Un commentaire de Véran?? https://twitter.com/EnModeMacaron/status/1268634117350084609/photo/1;EnModeMacaron;578;0;D;1;0;0;0;0;0
RT @petittoctoc: Sur @lci pour défendre @thelancet et donc casser @raoult_didier on fait venir une spécialiste médecine sur le plateau...!!! La compagne de @olivierveran.!!! #dubostvalerie ??????;petittoctoc;576;0;D;1;0;0;0;0;0
RT @JVerier: L’étude #Lancet se révèle être un véritable torchon,mais ce qui est plus grave c’est que #Veran  INTERDISE aux gens de pouvoir choisir ou non de se soigner avec l’#HydroxyChloroquine et tenter de sauver leurs vies !!! L’efficacité de L’HQC/AZM nous la connaîtrons bientôt!!??????;JVerier;575;0;D;1;0;0;0;0;0
RT @francoisedegois: #TheLancet sur la sellette ....le tres séreux @guardian relaie  des doutes sur l’étude qui descend l’ #hydroxychloroquine et qui vaut un déluge de feu sur #DidierRaoult . A l’évidence , l’histoire n’est pas finie . A lire sur ?@NosLendemains?  http://noslendemains.fr/the-lancet-sur-la-sellette/;francoisedegois;574;0;D;0;0;0;1;0;0
RT @NaphtalineLeBon: Quand tu apprends que BlackRock   est actionnaire de la revue The Lancet;NaphtalineLeBon;573;0;D;0;0;0;0;0;0
RT @PBlanrue: Lancet : le Dr Allen Cheng, spécialiste des maladies infectieuses à l'hôpital Alfred Health de Melbourne, a réclamé que les hôpitaux australiens impliqués dans l'étude soient nommés. Il affirme que personne dans son hôpital n'a fourni à Surgisphere quelque donnée que ce soit !;PBlanrue;569;1;D;0;0;0;0;0;0
RT @biobiobiobior: ?? France, 3 Juin :  L’étude The Lancet est un SCANDALE INTERNATIONAL, les données ont été totalement bidonnées et les résultats sont TRAFIQUÉS ! (Y.Threard LCI) #chloroquine #Vèran #coronavirus #LancetGate #France #Hydroxycloroquine https://twitter.com/boutaour/status/1268306134441570304/video/1;biobiobiobior;561;1;D;0;0;0;0;0;0
RT @lepenjm: Dès sa parution dans le journal LANCET le Pr RAOULT qualifié l’article sur le Covid19 et la chloroquine de « foireux ». Cette baudruche provocatrice vient d’éclater ! Une fois de plus RAOULT avait raison.;lepenjm;550;0;D;0;0;0;0;0;0
"RT @philippefroguel: Chloroquine : ""Je ne suis pas pro-Raoult mais l'étude publiée par The Lancet, c'est une merde"", lance le Pr. Froguel https://france3-regions.francetvinfo.fr/hauts-de-france/hydroxychloroquine-je-ne-suis-pro-raoult-etude-publiee-the-lancet-c-est-merde-lance-pr-froguel-1834562.html";philippefroguel;549;0;D;0;0;0;0;0;0
RT @ElleMisss: Qd le pr #Raoult compare la mortalité entre Marseille et Paris  les experts disent que ce n'est pas comparable  Qd l'étude de @TheLancet compare les continents qui n'ont ni les mêmes caractéristiques ni le même point de départ de l'épidémie  Ils approuvent tous sans réserve ??;ElleMisss;546;1;D;0;0;0;0;0;0
RT @AldoSterone111: The Lancet a retiré l’article bidon supporté par l’actrice porno. L’Etat français avait pondu un décret contre la chlrohydroxyquinine sur sa base. Ca vous donne une idée de la validité de la destruction économique sur la base de “la science du climat”.;AldoSterone111;546;0;D;1;0;0;0;0;0
